":Default:",":Definition:",":Example:",":Restrictions:",":Type:",":Unit:","label","ref","category","see_also"
0,"The number of years the asset has already been in operation.",10,"Natural number","numeric","Year","age_installed","age_ins-label","conversion;production",
1,"C-rate is the rate at which the storage can charge or discharge relative to the nominal capacity of the storage. A c-rate of 1 implies that the battery can discharge or charge completely in a single timestep.","*storage capacity*: NaN, *input power*: 1, *output power*: 1","Real number between 0 and 1. Only the columns ""input power"" and ""output power"" require a value, in column ""storage capacity"" c_rate should be set to NaN.","numeric","Factor","c-rate","crate-label","storage_csv",
None,"Name of the country where the project is being deployed","Norway",None,"str",None,"country","country-label","project_data",
"EUR","The currency of the country where the project is implemented.","EUR",None,"str",None,"currency","currency-label","economic_data",
0,"A fixed cost to implement the asset, eg. planning costs which do not depend on the (optimized) asset capacity.",10000,"Positive real number","numeric","currency","development_costs","developmentcosts-label","conversion;storage_csv;production;fixcost",
0,"Discount factor is the factor which accounts for the depreciation in the value of money in the future, compared to the current value of the same money. The common method is to calculate the weighted average cost of capital (WACC) and use it as the discount rate.",0.06,"Between 0 and 1","numeric","Factor","discount_factor","discountfactor-label","economic_data",
0,"Variable cost associated with a flow through/from the asset (eg. Euro/kWh).","0.64 or “[0.3, 0.26]” for multiple input or output busses","In ""storage_xx.csv"" only the columns ""input power"" and ""output power"" require a value, in column ""storage capacity"" dispatch_price should be set to NaN. In conversion assets, there should be different dispatch prices provided for each input or output busses. For two output busses (for example a heat pump), then write “[0.1, 0.4]”","numeric","currency/kWh","dispatch_price","dispatchprice-label","conversion;production;storage_csv;fixcost",
None,"Stands for Demand Side Management. Currently, not implemented.","False","Acceptable values are either True or False.","boolean",None,"dsm","dsm-label","hidden",
1,"Ratio of energy output/energy input. The battery efficiency is the ratio of the energy taken out from the battery, to the energy put into the battery. It means that it is not possible to retrieve as much energy as provided to the battery due to the discharge losses. The efficiency of the ""input power"" and ""ouput power"" columns should be set equal to the charge and dischage efficiencies respectively, while the ""storage capacity"" efficiency should be equal to the storage's efficiency/ability to hold charge over time (`= 1 - self-discharge/decay`), which is usually in the range of 0.95 to 1 for electrical storages.","0.95 or “[0.91, 0.98]” for multiple input or output busses","Between 0 and 1","numeric","Factor","efficiency","efficiency-label","conversion;storage_csv",
0,"Emissions per unit dispatch of an asset.",14.4,"Positive real number","numeric","kgCO2eq/asset unit","emission_factor","emissionfactor-label","providers;production",
