ref,label,:Unit:,:Valid Interval:,:Type:,category,see_also,:Definition:
replacement_costs_during_project_lifetime,Replacement costs,currency,">=0",Numeric,economic,costs_investment_over_lifetime,Costs for replacement of assets which occur over the project lifetime.
annual_total_flow,Aggregated flow,kWh,">=0",Numeric,technical,"average_flow, peak_flow","Dispatch of the asset over a year, aggregated generation, demand or thoughput."
annuity_om,"Annual operation, maintenance and dispatch expenses",currency/a,">=0",Numeric,economic,"annuity_total, cost_om_total","Annuity of the operation, maintenance and dispatch costs of the energy system, ie. Ballpoint number of the annual expenses for system operation."
annuity_total,Annuity,currency/a,">=0",Numeric,economic,"annuity_om, cost_total",Annuity of the net present costs (NPC) of the energy system.
average_flow,Average flow,kWh,">=0",Numeric,technical,"annual_total_flow, peak_flow",Average value of the assets dispatch. Relation of peak dispatch and average dispatch indicates how much the asset is used compared to ist actual installed capacity.
costs_cost_om,Operation and maintenance costs,currency,">=0",Numeric,economic,"costs_dispatch, costs_investment_over_lifetime, costs_om_total, costs_total, costs_upfront_in_year_zero","Costs for fix annual operation and maintenance costs over the whole project lifetime, that do not depend on the assets dispatch but solely on installed capacity."
costs_dispatch,Dispatch costs,currency,">=0",Numeric,economic,"costs_cost_om, costs_investment_over_lifetime, costs_om_total, costs_total, costs_upfront_in_year_zero","Dispatch costs over the whole project lifetime including all expenditures that depend on the dispatch of assets, ie. fuel costs, electricity consumption from the external grid, costs for operation and maintainance that depend on the thoughput of an asset"
costs_investment_over_lifetime,Investment costs,currency,">=0",Numeric,economic,"costs_cost_om, costs_dispatch, costs_om_total, costs_total, costs_upfront_in_year_zero, replacement_costs_during_project_lifetime","Investment costs over the whole project lifetime, including all replacement costs. "
costs_om_total,"Operation, maintenance and dispatch costs",currency,">=0",Numeric,economic,"costs_cost_om, costs_dispatch, costs_investment_over_lifetime, costs_total, costs_upfront_in_year_zero","Costs for annual operation and maintenance costs as well as dispatch of all assets of the energy system, for the whole project duration."
costs_total,Net Present Costs (NPC),currency,">=0",Numeric,economic,"costs_cost_om, costs_dispatch, costs_investment_over_lifetime, costs_om_total, costs_upfront_in_year_zero","Net present costs of the system for the whole project duration, includes all operation, maintainance and dispatch costs as well as the investment costs (including replacements)."
costs_upfront_in_year_zero,Upfront investment costs,currency,">=0",Numeric,economic,"costs_cost_om, costs_dispatch, costs_investment_over_lifetime, costs_om_total, costs_total","The costs which will have to be paid upfront when project begin, ie. In year 0."
levelized_cost_of_energy_of_asset,Levelized cost of thoughput,currency/kWh,">=0",Numeric,economic,"annuity_total, annual_total_flow","Cost per kWh thoughput though an asset, based on the assets costs during the project lifetime as well as the total thoughput though the asset in the project lifetime. For generation assets, equivalent to the levelized cost of generation."
optimizedAddCap,Optimal additional capacity,kW/kWh/kWp...,">=0",Numeric,technical,peak_flow,Capacity added to installed capacity for optimal economic system performance.
peak_flow,Peak flow,kW,">=0",Numeric,technical,"average_flow, annual_total_flow","Peak of the dispatch of an asset. "
