time,wind_speed,temp_air,ghi,dhi
2018-01-01 00:00:00+00:00,2.0268776,1.6655579,0.0,3.4722223e-05
2018-01-01 01:00:00+00:00,2.0677145,1.4066772,0.0,3.4722223e-05
2018-01-01 02:00:00+00:00,2.2684188,1.223999,0.0,3.4722223e-05
2018-01-01 03:00:00+00:00,2.3887098,1.4363098,0.0,3.4722223e-05
2018-01-01 04:00:00+00:00,2.2495346,1.5689087,0.0,3.4722223e-05
2018-01-01 05:00:00+00:00,2.323115,1.5082397,0.0,3.4722223e-05
2018-01-01 06:00:00+00:00,2.631065,1.4088135,0.0,3.4722223e-05
2018-01-01 07:00:00+00:00,2.5549428,1.3199158,41.28059,19.382048
2018-01-01 08:00:00+00:00,1.9191577,3.719513,153.62059,51.01082
2018-01-01 09:00:00+00:00,0.7450839,6.10495,260.72885,65.09932
2018-01-01 10:00:00+00:00,0.33572435,8.41214,329.53436,71.864655
2018-01-01 11:00:00+00:00,0.58756757,9.719147,343.04413,76.13147
2018-01-01 12:00:00+00:00,1.0277698,10.321503,311.36652,74.43857
2018-01-01 13:00:00+00:00,1.1566215,10.092255,228.6551,68.12344
2018-01-01 14:00:00+00:00,1.5134099,8.680878,117.12101,47.89702
2018-01-01 15:00:00+00:00,1.1859282,8.181488,18.044895,11.855937
2018-01-01 16:00:00+00:00,1.1479807,5.1280518,0.0,3.4722223e-05
2018-01-01 17:00:00+00:00,0.8104424,3.6722412,0.0,3.4722223e-05
2018-01-01 18:00:00+00:00,0.94689924,2.9013062,0.0,3.4722223e-05
2018-01-01 19:00:00+00:00,1.456817,1.4765015,0.0,3.4722223e-05
2018-01-01 20:00:00+00:00,1.5839587,1.0709534,0.0,3.4722223e-05
2018-01-01 21:00:00+00:00,1.6696169,1.1280823,0.0,3.4722223e-05
2018-01-01 22:00:00+00:00,1.9881847,0.4883423,0.0,3.4722223e-05
2018-01-01 23:00:00+00:00,1.8943822,0.4474182,0.0,3.4722223e-05
2018-01-02 00:00:00+00:00,1.9347404,0.07357788,0.0,3.4722223e-05
2018-01-02 01:00:00+00:00,1.8287387,0.18222046,0.0,3.4722223e-05
2018-01-02 02:00:00+00:00,1.9381505,0.76834106,0.0,3.4722223e-05
2018-01-02 03:00:00+00:00,2.1060157,1.370697,0.0,3.4722223e-05
2018-01-02 04:00:00+00:00,2.2246158,1.8905334,0.0,3.4722223e-05
2018-01-02 05:00:00+00:00,2.4723969,2.3468933,0.0,3.4722223e-05
2018-01-02 06:00:00+00:00,2.6826406,2.485138,0.0,3.4722223e-05
2018-01-02 07:00:00+00:00,2.9439452,2.545807,37.428436,19.220139
2018-01-02 08:00:00+00:00,3.1016285,3.5107117,143.59413,50.933006
2018-01-02 09:00:00+00:00,3.6057522,4.689331,234.93872,70.19624
2018-01-02 10:00:00+00:00,4.2458434,5.2521973,228.29994,95.092316
2018-01-02 11:00:00+00:00,3.2191556,5.28183,195.44759,88.61543
2018-01-02 12:00:00+00:00,2.4262943,5.109009,123.62319,103.48302
2018-01-02 13:00:00+00:00,1.3304335,4.5221863,67.740036,57.34028
2018-01-02 14:00:00+00:00,1.2635624,4.3246765,30.420868,30.420902
2018-01-02 15:00:00+00:00,1.5675708,4.594818,3.9613888,3.9614236
2018-01-02 16:00:00+00:00,2.3331704,4.2513123,0.0,3.4722223e-05
2018-01-02 17:00:00+00:00,2.4211924,4.1003723,0.0,3.4722223e-05
2018-01-02 18:00:00+00:00,2.5112019,4.015045,0.0,3.4722223e-05
2018-01-02 19:00:00+00:00,2.7467585,3.9459229,0.0,3.4722223e-05
2018-01-02 20:00:00+00:00,2.5892825,3.6665955,0.0,3.4722223e-05
2018-01-02 21:00:00+00:00,2.3822355,3.6609497,0.0,3.4722223e-05
2018-01-02 22:00:00+00:00,1.8341651,3.3294373,0.0,3.4722223e-05
